Data transakcji,Dane kontrahenta,Kwota transakcji (waluta rachunku)
2024-11-28, KAFFE BAGERI STOCKHOLM  WARSZAWA  P ,-15
2025-01-11, KAUFLAND 02  WARSZAWA  POL ,"-69,86"
2025-02-15, KAWIARNIA COFFEETOGO  TORUN 87100 P ,-31
2024-11-21, KAWIARNIA RELAKS 01  WARSZAWA  POL ,-31
2024-11-24, KLUBOKAWIARNIA MIAU GR  WARSZAWA 01 ,-45
2024-12-16, KUCHNIA ZA SCIANA Z  WARSZAWA  POL ,"-22,5"
2024-12-12, KUCHNIA ZA SCIANA Z  WARSZAWA  POL ,-26
2025-01-24, KUCHNIA ZA SCIANA Z  WARSZAWA  POL ,-20
2024-12-10, KUCHNIA ZA SCIANA Z  WARSZAWA  POL ,-24
2024-12-02, KURA WARZYW GEMUSE KEB  WARSZAWA 00 ,-42
2025-01-10, KWIACIARNIA LAURA  WARSZAWA  POL ,-55
2025-02-03, LEROY MERLIN WARSZA  WARSZAWA  POL ,"-23,98"
2025-01-12, LEWIATAN. AJAK STORE  WARSZAWA  POL ,"-4,37"
2024-11-27, LIDL 2170  WARSZAWA  POL ,"-5,19"
2024-12-07, LIDL KAROLKOWA  WARSZAWA  POL ,"-187,18"
2025-01-28, LIDL KAROLKOWA  WARSZAWA  POL ,"-53,26"
2024-12-31, LIDL KAROLKOWA  WARSZAWA  POL ,"-35,95"
2024-12-30, LIDL KAROLKOWA  WARSZAWA  POL ,"-133,93"
2025-01-30, LIDL KAROLKOWA  WARSZAWA  POL ,"-151,23"
2025-02-01, LIDL KAROLKOWA  WARSZAWA  POL ,"-88,84"
2024-12-19, LIDL KAROLKOWA  WARSZAWA  POL ,"-18,67"
2025-02-13, LIDL KAROLKOWA  WARSZAWA  POL ,"-25,63"
2024-11-20, LIDL KAROLKOWA  WARSZAWA  POL ,"-44,06"
2024-12-18, LIDL KAROLKOWA  WARSZAWA  POL ,"-11,97"
2025-02-13, LIDL KAROLKOWA  WARSZAWA  POL ,"-18,84"
2024-12-13, LIDL KAROLKOWA  WARSZAWA  POL ,"-30,44"
2024-11-26, LIDL KAROLKOWA  WARSZAWA  POL ,"-72,44"
2025-02-03, LIDL KAROLKOWA  WARSZAWA  POL ,"-25,77"
2025-02-10, LIDL KAROLKOWA  WARSZAWA  POL ,"-37,69"
2025-02-08, LIDL KAROLKOWA  WARSZAWA  POL ,"-94,22"
2025-02-05, LIDL KAROLKOWA  WARSZAWA  POL ,"-27,48"
2024-12-02, LIDL KAROLKOWA  WARSZAWA  POL ,"-59,61"
2024-12-09, LIDL KAROLKOWA  WARSZAWA  POL ,"-62,15"
2024-12-03, LIDL KAROLKOWA  WARSZAWA  POL ,"-15,5"
2025-01-08, LIDL KAROLKOWA  WARSZAWA  POL ,"-70,59"
2024-12-11, LIDL KAROLKOWA  WARSZAWA  POL ,"-56,78"
2025-01-20, LIDL KAROLKOWA  WARSZAWA  POL ,"-71,33"
2025-01-13, LIDL KAROLKOWA  WARSZAWA  POL ,"-57,36"
2025-01-15, LIDL KAROLKOWA  WARSZAWA  POL ,"-83,59"
2025-01-16, LIDL KAROLKOWA  WARSZAWA  POL ,"-39,15"
2025-01-14, LIDL KAROLKOWA  WARSZAWA  POL ,"-28,93"
2025-02-04, LIDL WILENSKA  WARSZAWA  POL ,"-43,58"
2024-12-10, LUCA BAKERY  WARSZAWA  POL ,"-17,8"
2024-12-01, LUCA BAKERY  WARSZAWA  POL ,"-8,9"
2024-11-24, LUCA BAKERY  WARSZAWA  POL ,"-8,9"
2024-12-01, LUCA BAKERY  WARSZAWA  POL ,"-8,9"
2024-12-10, LUCA BAKERY  WARSZAWA  POL ,"-8,9"
2025-01-19, LUCA BAKERY  WARSZAWA  POL ,"-8,9"
2024-11-25, LUX MED SP. Z O.O.  WARSZAWA  POL ,"-106,25"
2024-11-25, LUX MED SP. Z O.O.  WARSZAWA  POL ,-357
2025-02-12, LUX MED SP. Z O.O.  WARSZAWA  POL ,-198
2024-11-28, LUX MED SP. Z O.O.  WARSZAWA  POL ,-447
2025-01-17," MCDONALDS 482,WARSZ  WARSZAWA  POL ",-9
2024-12-24, ME M04  TORUN  POL ,-168
2024-11-21, MEDIUM MONTHLY            MEDIUM.CO ,"-0,62"
2024-12-21, MEDIUM MONTHLY            MEDIUM.CO ,"-0,62"
2024-12-19, MEDIUM MONTHLY  +14155085008 941045 ,"-20,64"
2024-11-19, MEDIUM MONTHLY  +14155085008 941045 ,"-20,6"
2025-01-22, MLECZARNIA JEROZOLIMSK  WARSZAWA 00 ,"-22,87"
2025-01-14, MLECZARNIA JEROZOLIMSK  WARSZAWA 00 ,"-9,34"
2025-01-14, MLECZARNIA JEROZOLIMSK  WARSZAWA 00 ,"-13,67"
2025-01-24, MLECZARNIA JEROZOLIMSK  WARSZAWA 00 ,"-18,91"
2024-12-03, MOSS KAWIARNIA  WARSZAWA  POL ,-14
2025-01-08, MPSA - A 159  WARSZAWA  POL ,-140
2025-01-02, MULTIKINO S.A.  WARSAW  POL ,"-81,8"
2025-01-02, NATALIA STRÓŻ DROŻANKI 17 26-634 GÓZD ,40
2025-01-25, NATALIA STRÓŻ DROŻANKI 17 26-634 GÓZD ,45
2025-02-09, NATALKA STRÓŻ ,-45
2024-12-25, NATALKA STRÓŻ ,-35
2025-01-24, NATALKA STRÓŻ ,-45
2025-02-11, NATALKA STRÓŻ ,-30
2025-01-19, NATALKA STRÓŻ ,-36
2024-11-22, OLA PISZCZYK ,-43
2024-12-04, ONE MORE SUSHI  WARSZAWA  POL ,"-31,99"
2025-01-02, ORANGE POLSKA ALEJE JEROZOLIMSKIE 160 WARSZAWA ,"-7,48"
2025-02-07, ORANGE POLSKA ALEJE JEROZOLIMSKIE 160 WARSZAWA ,"-3,16"
2024-12-05, ORANGE POLSKA ALEJE JEROZOLIMSKIE 160 WARSZAWA ,"-3,14"
